Open,5/16/2024 20:06,Orlando,FL,USA,Other,When first saw it was heading down then a few minutes later started to go up,5/16/2024,Y,Contrail
Open,5/16/2024 13:35,Comer,GA,USA,Orb,"They appear, get brighter, really bright, fade out while moving in random directions in the same vicinity, like a swarm of lights.",5/20/2024,Y,
Open,5/16/2024 0:40,Cumming,GA,USA,Triangle,"Saw a triangle of three faint red lights, it did not move in a straight line",5/15/2024,,
Open,5/15/2024 20:48,Raleigh,NC,USA,Unknown,Lights in sky flying low,5/16/2024,Y,Chinese Lanterns
Open,5/15/2024 20:12,Buhl,ID,USA,Orb,I saw a fairly large orb with five flashing rainbow lights over my friends neighbors house,5/15/2024,,
Open,5/15/2024 20:11,Buhl,ID,USA,Orb,Driving home with a friend and saw it over my neighbor's house,5/15/2024,,
Open,5/15/2024 12:40,Bozeman,MT,USA,Unknown,"Object was slowly moving South / South West over the Bridger Mountain Range just outside Bozeman, MT.",5/24/2024,Y,Balloon
Open,5/15/2024 3:59,El Dorado Hills,CA,USA,Formation,They were a tube of lights that came in and out of the ground,5/15/2024,,
Open,5/14/2024 20:08,Gastonia,NC,USA,Unknown,A black slow spinning object that was flashing floated up and out of sight while slowly spinning.,5/14/2024,Y,Balloon
Open,5/14/2024 20:00,Boston,MA,USA,Sphere,I saw a quickly gliding wobbling hockey puck looking UAP/UFO flying in a straight line high in the sky but lower than an airplane.,5/14/2024,,Balloon
Open,5/13/2024 18:40,Washington,DC,USA,Orb,"When looking at a clear blue sky, I saw 7 to 10 orbs in 3 created a triangle formation it disappeared and reappear twice",5/14/2024,,
Open,5/13/2024 17:15,Sarasota,FL,USA,Oval,It was flying like a plane but was flat as a pancake.,5/13/2024,Y,
Open,5/13/2024 9:27,Batesburg-Leesville,SC,USA,Diamond,"Diamond shaped, matte dark grey, solid, massive",5/13/2024,,
Open,5/12/2024 22:12,Otto,NC,USA,Flash,First sighting was 5/11/24. Looked in sky to see northern lights. Then saw the light flashes. The lights continued for 4 days.,5/22/2024,,
Open,5/12/2024 20:55,Kissimmee,FL,USA,Fireball,We witnessed a rocket like anomaly shooting upward in the sky.,5/18/2024,,
Open,5/12/2024 20:30,Lansing,WV,USA,Circle,"Facing north looking up when large, fast-moving bright white “star” appeared at 1 oclock darting to 11 o’clock then disappeared in tree",5/13/2024,,
Open,5/12/2024 20:10,White Rock,NM,USA,Rectangle,Black rectangular craft with red lights breaks sound barrier with no sound.,5/26/2024,,
Open,5/12/2024 16:19,Honolulu,HI,USA,Orb,Six orbs moving north in a formation,5/13/2024,Y,
Open,5/12/2024 14:37,Page,AZ,USA,Circle,Mysterious Glowing Circles Captured Above My Head in Vacation Photo,5/12/2024,Y,Camera Anomaly
Open,5/11/2024 23:22,Bellingham,WA,USA,Cylinder,"Cylinder shape, No lights, No sound, traveling N-NE, low & steady pace",5/28/2024,Y,
Open,5/11/2024 23:15,York,ME,USA,Cylinder,Appeared continuously for 2.5 hours did not appear in any other areas of the sky besides directly above the lighthouse.,5/12/2024,,
Open,5/11/2024 22:43,Pomona,CA,USA,Light,Traveling then stoped in mid air,5/18/2024,,
Open,5/11/2024 22:23,Lincolnton,GA,USA,Formation,While looking for the northern lights and While photographing the moon a secondary object appeared in the photograph.,5/15/2024,Y,Camera Anomaly?
Open,5/11/2024 22:03,Ashwaubenon,WI,USA,Circle,White circle no sound and wobbled,5/23/2024,Y,Satellite?
Open,5/11/2024 22:00,Lake City,MI,USA,Circle,Vanishing bright light like a star or planet but not one,5/28/2024,,
Open,5/11/2024 22:00,Cody,WY,USA,Fireball,White fireball fell down into the mountains,5/12/2024,,
Open,5/11/2024 22:00,Cookeville,TN,USA,Circle,High altitude craft travelling out of the South heading North,5/12/2024,Y,
Open,5/11/2024 21:46,Parlier,CA,USA,Diamond,The strange orb was blue and weird it lasted for about 2 minutes,5/11/2024,,
Open,5/11/2024 21:38,Madison,AL,USA,Circle,"Changed directions, brightness, and speed",5/11/2024,,
Open,5/11/2024 20:42,Centerton,AR,USA,Circle,Observed a total of12 circular reddish-orange objects,5/13/2024,Y,Chinese Lantern
Open,5/11/2024 17:20,Bolivar,MO,USA,Cube,"Rotating cube over Bolivar, MO",5/11/2024,,
Open,5/11/2024 17:00,Nashville,TN,USA,Sphere,Metallic sphere observed travelling near South Nashville.,5/23/2024,,
Open,5/11/2024 16:30,Tacoma,WA,USA,Changing,Seen at approximately a 75 degree angle from my location. Very high altitude.,5/11/2024,,
Open,5/11/2024 11:46,St. Petersburg,FL,USA,Flash,"Pair of blinking green plane-like lights that hovered a while, then started to dart / jag at odd fast speeds",5/11/2024,,
Open,5/11/2024 7:13,Redmond,OR,USA,Other,"Jellyfish style UAP traveling from the west, to the east",5/11/2024,Y,
Open,5/11/2024 4:44,Levittown,NY,USA,Orb,"A bright orb appeared in the NW sky, right after witnessing rare Northern Lights, and glided SE direction, spinning, changing colors ,",5/13/2024,Y,
Open,5/11/2024 1:38,Seattle,WA,USA,Unknown,Triangular arrangement of lights flying swiftly and rotating,5/11/2024,,
Open,5/11/2024 1:25,Hilton,NY,USA,Orb,Flashing lights coming from a heavily wooded area night of aurora borealis,5/20/2024,Y,Camera Anomaly?
Open,5/10/2024 22:30,Jamestown,NY,USA,Orb,Orb sighting in the roadside shrubbery,5/14/2024,Y,
Open,5/10/2024 21:00,Allegany,NY,USA,Triangle,Went outside to see the northern lights and saw a multiple circle of lights in the northeast sky..,5/12/2024,,
Open !,5/10/2024 21:00,Clewiston,FL,USA,Light,We saw 2 extremely bright lights 50 feet off the ground going past us heading south,5/12/2024,,
Open,5/10/2024 19:57,Niagara Falls,NY,USA,Fireball,Fireball Soaring above clouds,5/11/2024,Y,Contrail?
Open,5/10/2024 5:00,Westland,MI,USA,Other,an electrical arc hovering,5/10/2024,Y,
Open,5/9/2024 22:38,Perris,CA,USA,Light,A short appearance and disappearance of an orange light.,5/10/2024,,
Open,5/9/2024 22:00,Mesquite,NV,USA,Formation,Formations were constant and Multiple Aircraft in each formation I would say I’ve seen at least 30 or more different formations,5/19/2024,Y,
Open,5/9/2024 21:35,Fresno,CA,USA,Light,Solid light moved from SW to NE with no dimming of solid white light.,5/9/2024,,
Open,5/9/2024 20:39,Scottsdale,AZ,USA,Star,"I saw what looked like a star twinkling but then it was going brighter then dimmer, flashing - then it took off quickly to the right",5/10/2024,Y,Drone
Open,5/9/2024 15:30,Springfield,OR,USA,Cigar,I spotted a white object about 45 degrees above the horizon then pointed it out to my son in the car then the object fades away.,5/9/2024,,Aircraft
Open,5/9/2024 15:25,Louisville,KY,USA,Changing,"Noticed an unusually bright object, started taking photos with a nikon z7II with a 300mm zoom.",5/15/2024,Y,
Open,5/9/2024 14:27,Francis,UT,USA,Cigar,"I took a few pics of a funnel cloud that was just south of my location in Francis, UT. One pic showed an object",5/10/2024,Y,Debris?
