Occurred,City,State,Country
"04/01/2024 18:00","Los Angeles","CA","USA"
"03/31/2024 21:39","Apex","NC","USA"
"03/31/2024 18:00","Ottumwa","IA","USA"
"03/31/2024 03:19","Seattle","WA","USA"
"03/30/2024 22:15","Johnson City","KS","USA"
"03/30/2024 22:05","Half Moon Bay","CA","USA"
"03/30/2024 21:10","Mooresville","NC","USA"
"03/30/2024 21:00","Concord","NH","USA"
"03/30/2024 20:30","Vicksburg","MS","USA"
"03/30/2024 20:09","Buckeye","AZ","USA"
"03/30/2024 15:36","Middleburg","FL","USA"
"03/30/2024 05:58","Glendale","AZ","USA"
"03/29/2024 23:11","Meridian","PA","USA"
"03/29/2024 22:00","Springfield","MI","USA"
"03/29/2024 21:09","Pepperell","MA","USA"
"03/29/2024 20:08","Muncy","PA","USA"
"03/29/2024 19:36","Timonium","MD","USA"
"03/29/2024 09:58","Virginia Beach","VA","USA"
"03/28/2024 19:59","Bulverde","TX","USA"
"03/28/2024 19:45","Hohenwald","TN","USA"
"03/28/2024 17:05","Altadena","CA","USA"
"03/28/2024 07:06","Delray Beach","FL","USA"
"03/28/2024 00:30","Las Vegas","NV","USA"
"03/27/2024 22:01","Toledo","OH","USA"
"03/27/2024 21:45","Woodward","TX","USA"
"03/27/2024 20:58","Artesian","AR","USA"
"03/27/2024 18:43","Stamford","CT","USA"
"03/27/2024 03:13","Corrales","NM","USA"
"03/27/2024 02:00","Chuckey","TN","USA"
"03/26/2024 23:20","Rigby","ID","USA"
"03/25/2024 22:50","Weare","NH","USA"
"03/25/2024 21:15","Roeland Park","KS","USA"
"03/25/2024 20:30","Austin","TX","USA"
"03/25/2024 20:30","Mesquite","TX","USA"
"03/25/2024 20:22","Katy","TX","USA"
"03/25/2024 20:20","Houston","TX","USA"
"03/25/2024 20:20","Waco","TX","USA"
"03/25/2024 20:16","Round Top","TX","USA"
"03/25/2024 20:16","Port Aransas","TX","USA"
"03/25/2024 20:16","Waco","TX","USA"
"03/25/2024 20:16","Houston","TX","USA"
"03/25/2024 20:15","Leander","TX","USA"
"03/25/2024 20:15","Copperas Cove","TX","USA"
"03/25/2024 20:13","Whitney","TX","USA"
"03/25/2024 20:05","Rusk","TX","USA"
"03/25/2024 14:25","New York","NY","USA"
"03/25/2024 14:25","New York","NY","USA"
"03/24/2024 19:49","Temple","TX","USA"
"03/23/2024 13:32","Surprise","AZ","USA"
"03/23/2024 11:58","Lawrenceville","GA","USA"
"03/22/2024 20:59","Wheeler","WI","USA"
"03/21/2024 21:57","Bapchule","AZ","USA"
"03/21/2024 21:19","Oliver Springs","TN","USA"
"03/21/2024 21:10","St. George","UT","USA"
"03/21/2024 20:50","Jacksboro","TN","USA"
"03/21/2024 20:00","Orland","CA","USA"
"03/21/2024 12:40","Colorado Springs","CO","USA"
"03/21/2024 09:00","Hudson","CO","USA"
"03/21/2024 05:54","Oak Hill","WV","USA"
"03/20/2024 19:30","Centralia","WA","USA"
"03/20/2024 03:55","Surf City","NC","USA"
"03/20/2024 02:45","Williamstown","KY","USA"
"03/19/2024 23:40","Las Vegas","NV","USA"
"03/19/2024 23:09","Albuquerque","NM","USA"
"03/19/2024 22:22","Provo","UT","USA"
"03/19/2024 22:15","Whitmore Lake","MI","USA"
"03/19/2024 14:00","Surprise","AZ","USA"
"03/19/2024 03:08","Mattoon","IL","USA"
"03/19/2024 02:18","","MD","USA"
"03/18/2024 22:53","Oak Harbor","WA","USA"
"03/18/2024 19:34","Los Angeles","CA","USA"
"03/18/2024 10:15","Portland","OR","USA"
"03/18/2024 09:34","Rancho Cordova","CA","USA"
"03/17/2024 20:40","Millville","MA","USA"
"03/17/2024 19:20","Palm Desert","CA","USA"
"03/17/2024 16:02","Reading","MA","USA"
"03/16/2024 23:40","Ironton","OH","USA"
"03/16/2024 12:15","Spokane","WA","USA"
"03/16/2024 01:30","Leicester","MA","USA"
"03/16/2024 00:12","Carrizozo","NM","USA"
"03/15/2024 23:36","Daytona Beach","FL","USA"
"03/15/2024 23:18","Spokane","WA","USA"
"03/15/2024 21:11","Cincinnati","OH","USA"
"03/15/2024 20:30","Portland","OR","USA"
"03/15/2024 20:25","Largo","FL","USA"
"03/15/2024 20:20","Bainbridge Island","WA","USA"
"03/15/2024 14:28","","IL","USA"
"03/15/2024 12:30","Springfield","OR","USA"
"03/15/2024 10:53","Pasco","WA","USA"
"03/15/2024 04:45","Oconomowoc","WI","USA"
